time,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7
0,3,3,3,3,3,3,3
1,1.9672116069068997,1.5898675191905947,1.9222234563569882,1.5063033933584276,1.6367738290805014,1.6442813232006745,1.9982364717175785
2,1.1750681852100484,1.1072880243495036,1.312895256120813,0.7720180666513051,1.052662353670591,0.8436990347585057,1.145380629342813
3,0.7053956916375408,0.7238517552836169,0.6620553693258815,0.46805297310794874,0.5915412734732861,0.4424470122099208,0.6755538833775501
4,0.4701417095236811,0.4733669187671039,0.3754446704208052,0.32154004175995565,0.37261208240224303,0.23359208965749428,0.4193906221668046
5,0.2994416091496367,0.2764674486763999,0.2097060278919568,0.21567841165725302,0.1936904918086543,0.15181527407518225,0.2768301773182014
6,0.1799214859179643,0.15150661402501736,0.1273742423543514,0.11994019015229654,0.13388320030453565,0.08955610621084034,0.1477508391380935
7,0.10684296017811247,0.0912003173950035,0.070535735259484,0.0693701274900341,0.07642865340602303,0.0603463985791238,0.09932696412404793
8,0.06028381209270908,0.049989255425505086,0.04134385749348504,0.0428317854924072,0.042954757940221945,0.03468402338841374,0.05478988027258333
9,0.035931927410010764,0.026653579079456678,0.022390195013121762,0.024931535206675244,0.029739465292830725,0.02349626776864654,0.0352269200179045
10,0.018498742977536353,0.014022529891816996,0.011241773957418814,0.01351256842349528,0.017195719565162044,0.011872797784611446,0.02326220901823773
11,0.011549194595501158,0.008658328332632139,0.007517505797646351,0.007878411137916718,0.009971978038989731,0.006318692870670595,0.014706825253221775
12,0.007491742937149472,0.005371906014425689,0.005128821759069134,0.004252096938114475,0.00616566215246122,0.004417154524519155,0.009874233696253242
13,0.0043447777162427086,0.0035372613143629062,0.003099393941518843,0.0027139104661722127,0.003972271752640877,0.0026382152821163678,0.006301426502190783
14,0.0025334762142790153,0.0020094366681811093,0.0020168946657718304,0.001844413252825576,0.0020518401688837387,0.001526265279048583,0.003717921679369419
15,0.0014401441123292236,0.0012357395000684504,0.0012982362667815662,0.0011909566730033713,0.0010643527653108307,0.000874461581277576,0.0025147328742629047
16,0.0007989981418641578,0.0006966822992079089,0.0007226197941636559,0.000631155837871754,0.0006552860261188798,0.0004601682117904291,0.0014128675580121876
17,0.0003998985598711503,0.0004693352208130519,0.00040828928188117904,0.00038850122003065117,0.0004102273528482103,0.00024239390963741862,0.0009239701911160638
18,0.0002060146278615406,0.00029997271025811195,0.00028501586040414686,0.00023801142512258776,0.0002299287794748606,0.00016551098716014197,0.0006097868962111126
19,0.00011962734918987603,0.000171432450368651,0.00018195976042344823,0.00012848871496462592,0.00012586657115051255,9.024651200464845e-05,0.0004198317472573704
20,7.224402977601317e-05,0.00010417149930474106,0.00012040630354273501,8.085721979851602e-05,8.526768334080264e-05,5.974048930983614e-05,0.00028226602905592735
21,4.722960488758255e-05,7.087411754281875e-05,6.951500923334345e-05,4.575094893917619e-05,4.474415954876668e-05,3.808096167938938e-05,0.00016200526810385534
22,2.861520207044543e-05,4.943811544107648e-05,3.9393607455308806e-05,2.442256664853567e-05,2.9271210365798387e-05,2.5986690973218148e-05,0.00010144538519379302
23,1.4336895821902242e-05,2.675990724141459e-05,2.255042791219691e-05,1.6139675720640208e-05,1.6265527600713502e-05,1.78443287992658e-05,5.3056529134196096e-05
24,7.38168266154286e-06,1.6237314162525442e-05,1.2278797387665001e-05,9.595583332992689e-06,8.888750294646913e-06,1.2323328569642045e-05,3.263747073798963e-05
25,4.611744115340971e-06,9.137281839850992e-06,7.758247579912949e-06,6.52675823775616e-06,4.559779193190644e-06,7.742592457147814e-06,1.7870987534944993e-05
